Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Rep.,Chad,Comoros,Congo,Cote d'Ivoire,Dem. Rep. of the Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Fmr Sudan,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Togo,Tunisia,Uganda,United Rep. of Tanzania,Zambia,Zimbabwe,Year_Total,Percentage Change
1992,0.027338317,0.008472849999999999,0.022190301000000003,0.0,0.0024997529999999995,0.003600889,0.000161485,0.009591496000000001,0.000161294,0.0006240109999999999,0.0031434540000000004,0.005879869,0.02804772,0.007770345,0.015901252,0.174559719,0.00018082500000000002,0.0,0.0,0.0,0.043674324,0.001525808,0.05193018,0.023958687000000003,0.03072525,0.0024015860000000003,0.029182602000000002,0.0,0.115698334,0.086626717,0.004420455,0.000315966,0.005429401,0.014700360999999999,0.023437849,0.104103026,0.020729009000000003,0.0,0.002752585,0.090991983,0.004056131,0.026217014000000004,0.000832046,0.006844669,0.0052384300000000005,0.0,0.0,0.0,0.07532305,0.028495413,0.007096674,0.107981108,0.005372258,0.027429592,1.2576140879999997,0.0
1993,0.033538298,0.011206948,0.053612683999999994,0.0,0.009382281,0.003710646,0.0007549350000000001,0.006414751,0.003216817,0.000185694,0.00028396,0.007707072999999999,0.052190436,0.021765296,0.011192447,0.199595838,0.0006353940000000001,0.0,0.0,0.022235485000000003,0.030105727000000002,0.0018990720000000001,0.06998085000000001,0.038579787,0.031597707,0.002716341,0.047276525,0.0,0.00470064,0.045242689,0.006146705,0.0019006919999999998,0.011546723,0.0047452910000000004,0.025960226000000003,0.094439072,0.016548204000000004,0.0,0.01491575,0.12075972400000001,0.003081674,0.026198225000000002,0.001332726,0.012904541,0.000670261,0.0,0.0,0.0,0.10896539699999999,0.028400918,0.006234554000000001,0.039507968,0.0072099880000000005,0.008746276,1.249943236,-0.6099527727300491
1994,0.059800433,0.012482005000000001,0.030440338,0.0,0.000983517,0.002643417,0.0004243939999999999,0.005424568,0.000199182,0.0014148040000000002,0.00024859999999999997,0.007920329,0.020111039,0.023540705,0.010096683,0.279603033,0.000584829,0.0008680370000000001,0.0,0.017495814000000002,0.038638249,0.00157805,0.069468129,0.0365431,0.026420376000000002,0.0040029639999999995,0.06449508500000001,0.0,0.031773349,0.029511071000000003,0.00902506,0.000548323,0.01080834,0.031571964,0.027020970000000002,0.089606724,0.00651822,0.0,0.018067251000000003,0.090231961,0.0024063089999999997,0.021736255,0.00038603000000000004,0.008500114999999999,0.001778532,0.0,0.0,0.0,0.09734591299999999,0.050498379999999995,0.008724875000000002,0.065597862,0.009698461,0.021635196000000002,1.3484188410000002,7.8784061678781825
1995,0.057494370999999996,0.021159336,0.06651589399999999,0.0,0.001578927,0.002121977,0.00038034200000000004,0.010118302000000001,0.0009835570000000001,0.002376779,0.001366221,0.005930592,0.050935291,0.041030764000000004,0.009865891,0.439645416,0.0023303700000000004,0.002155016,0.0,0.031275947,0.041615069,0.00283156,0.057894797,0.071417182,0.027493506,0.001090892,0.104092427,0.0,0.035525423,0.033314476,0.011900473,0.000743848,0.025088635999999997,0.032072234000000005,0.023126595000000003,0.11239181399999999,0.011523078999999999,0.0,0.008054065,0.152731897,0.001145506,0.036439162,0.000632448,0.00426917,0.00031243000000000004,0.0,0.0,0.0,0.11979747500000001,0.036270171999999996,0.012837663000000001,0.074110646,0.019647379,0.015284721,1.8209197380000002,35.04110760196652
1996,0.05449740300000001,0.028533705,0.06988247,0.0,0.000770782,0.0009126920000000001,0.000274927,0.010902115,0.002276617,0.0011665010000000001,0.00025747199999999996,0.008114867000000001,0.052198184999999994,0.042702458,0.009813317,0.40444283200000003,0.005970663,0.0006106540000000001,0.0,0.041192285,0.048249412,0.004264329,0.046261710000000004,0.083261971,0.029699555000000002,0.000462599,0.092220276,0.0,0.113602472,0.05697351999999999,0.014166086999999999,0.001050872,0.015221572000000001,0.013215664000000002,0.043561986,0.07459579300000001,0.011235225,0.0,0.0014554479999999998,0.170848968,0.003785244,0.03734409,0.00042886599999999997,0.006397324,0.00045869,0.0,0.0,0.0,0.078570965,0.060644776000000004,0.007953165,0.06415380400000001,0.009710192,0.018845246,1.8431597659999999,1.2213623443077637
1997,0.112960682,0.029128511,0.109725192,0.0,0.0015703540000000002,0.00038652500000000003,0.00040539400000000006,0.012545366,0.0008352709999999998,0.001030031,0.00021774899999999996,0.012315275,0.092409498,0.029487430000000002,0.013439987,0.46494587400000004,0.003335113,0.003130491,0.0,0.054974833,0.110828765,0.005920738,0.041812372,0.086247134,0.034753449,0.000722255,0.13247568,0.0,0.073494439,0.07970418199999998,0.026714037000000003,0.002250667,0.013887497,0.011369051,0.048000076,0.118820806,0.015941226,0.0,0.0018483479999999999,0.31640979599999997,0.0023245510000000002,0.033700124000000005,0.001042853,0.0040887910000000005,0.000477408,0.0,0.0,0.0,0.06924804899999999,0.07464942499999999,0.009927608,0.084881872,0.010682875,0.028173857000000004,2.383241507,29.301949346044932
1998,0.116785836,0.036653028000000004,0.153539431,0.0,0.005135100000000001,0.002086245,0.001960845,0.018904876,0.001059302,0.00015241400000000002,0.00011967999999999999,0.046765537,0.15199544599999998,0.06100137700000001,0.030914977,0.5747411139999999,0.002937185,0.002596975,0.0,0.068269994,0.349675207,0.010144589999999998,0.050637729,0.11153743999999999,0.037177652000000005,0.001452681,0.11815761999999999,0.0,0.02777794,0.0681849,0.032701034999999996,0.002506411,0.024384051,0.009543836,0.065858169,0.165484126,0.013333985000000001,0.0,0.0073969710000000004,0.357537643,0.002114799,0.043264488000000004,0.0013029870000000002,0.004402742,0.000177701,0.0,0.0,0.0,0.059081123,0.083977193,0.010778507000000001,0.06997304200000001,0.022116379000000002,0.104776494,3.131076803,31.378913710737066
1999,0.159952713,0.016363697,0.162832794,0.0,0.001375864,0.001459922,0.003141087,0.020135541,0.001007528,0.00023870600000000001,0.000641555,0.010794574000000001,0.198151395,0.018741474,0.038338697,0.7158553879999999,0.002497962,0.0007416359999999999,0.0,0.053442441,0.22934068100000002,0.0065139559999999996,0.057187635,0.110267249,0.046303849,0.003181137,0.100765098,0.0,0.012362785000000001,0.06474159499999999,0.040566658000000005,0.005082802,0.018491198,0.017778592,0.071123427,0.253800771,0.018931038,0.0,0.015085838,0.396448352,0.0017490270000000002,0.039306948999999994,0.002000978,0.004345531,0.000487231,0.0,0.0,0.0,0.07026863900000001,0.097358557,0.0106315,0.063928042,0.008381682000000001,0.027243567,3.199387338000001,2.181694646856003
2000,0.172916756,0.033735509000000004,0.37041197,0.011474089,0.00295802,0.003626745,0.005178211,0.02263265,0.000342819,0.000621691,0.000290446,0.018340097,0.222757322,0.018432037000000002,0.054107731000000006,0.8053012110000001,0.003549061,0.001278999,0.002945192,0.05570373000000001,0.158379773,0.004426787,0.06162498000000001,0.105931678,0.034024281,0.004621401000000001,0.13308324400000002,0.010423544,0.12600059,0.05230867,0.07123375500000001,0.006912814999999999,0.034845415000000005,0.024676946999999998,0.083799468,0.277822177,0.024706053000000002,0.008284288,0.00702047,0.548779006,0.0034240050000000004,0.051276813,0.001570999,0.008656719,0.0009974290000000002,1.013645537,0.0,0.0,0.08037002700000001,0.096721924,0.014403851999999998,0.085762932,0.032861862000000006,0.031915928,5.007117654999999,56.5023901773033
2001,0.22222641,0.045721834,0.520456565,0.014231542000000002,0.004060183,0.001155449,0.002212932,0.029310772,0.000567341,0.000283181,0.000456505,0.038164271,0.25765067999999997,0.013126988000000001,0.047318798,0.8732078740000001,0.0033545870000000005,0.002834828,0.002992489,0.078797585,0.219947746,0.005889490000000001,0.072507348,0.14588468400000001,0.044060108,0.008299380000000002,0.138806929,0.016765245,0.11272310700000002,0.040981224,0.07286432200000001,0.004493128,0.022927813000000002,0.029868695000000004,0.087184163,0.2998798240000001,0.022041054000000004,0.021216535999999998,0.006482898000000001,0.9171831400000001,0.002890869,0.05255648499999999,0.001114537,0.011993149000000002,0.0011154899999999998,1.048574038,0.0,0.0,0.10875214799999999,0.106154706,0.016240307000000002,0.090146794,0.03883592500000001,0.033264696999999996,5.959776793,19.02609851894923
