Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Rep.,Chad,Comoros,Congo,Cote d'Ivoire,Dem. Rep. of the Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Fmr Sudan,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Togo,Tunisia,Uganda,United Rep. of Tanzania,Zambia,Zimbabwe,Year_Total,Percentage Change
1992,0.0026961529999999997,0.029409207000000003,0.000545868,0.0,0.012778205000000003,2.0556e-05,0.0,0.016041751000000003,8.526e-06,0.000856159,3.7985e-05,0.000441067,0.002337314,0.005601239,6.372e-06,0.001088866,8.0044e-05,0.0,0.0,0.0,0.009227045000000001,0.048239047,0.00011491700000000001,0.005305577,0.000162473,0.0,0.002239258,0.0,7.23e-07,0.089795366,0.0017618900000000001,0.000886393,0.034907615,8.1528e-05,0.00013586500000000001,0.040502046,0.038389843,0.0,0.0,0.005961981,1.3265000000000001e-05,0.000542557,3.1231e-05,0.0,0.001118622,0.0,0.0,0.0,0.0016567310000000003,0.02339612,2.443e-06,0.0007014220000000002,0.016246522,0.097903937,0.49127372900000005,0.0
1993,0.006647521,0.18071046200000002,7.758e-06,0.0,6.460000000000001e-07,4.8613000000000004e-05,0.0,7.6954e-05,5.8021000000000006e-05,1.1181999999999999e-05,1.2528000000000001e-05,0.00642051,0.004185985,0.003040661,0.000138991,0.024233924,2.8001000000000002e-05,0.0,0.0,2.8e-06,0.000139332,0.067812129,0.00033655800000000004,0.0064079720000000005,0.014511983000000001,0.001051163,0.003847613,0.0,0.005363704,0.12128825000000001,0.001352056,0.0,0.0,0.0,0.000390398,0.029389099000000002,0.006717530999999999,0.0,3.2095e-05,0.000529845,7.533e-06,0.002918876,0.0,5.6949e-05,0.0009050519999999999,0.0,0.0,0.0,0.0009800120000000002,0.030042484,1.3490000000000001e-05,0.001149722,0.010965465,0.051315726,0.5831495939999999,18.70156281041435
1994,0.003768851,0.047984324,0.00047422100000000004,0.0,0.0,5.3604e-05,0.0,0.009138439,0.000168533,3.015e-06,6.878000000000001e-06,0.0019776650000000004,0.0039436459999999994,0.002459436,0.00010219000000000001,0.015185365,9.7694e-05,0.0,0.0,3.863e-05,0.053129699,0.08670371899999998,3.0624000000000004e-05,0.025222104000000002,0.013531804000000001,0.0009113389999999999,0.004672468000000001,0.0,0.001249558,0.0025645790000000004,0.000970015,0.0,0.009094365,4.1198e-05,7.119099999999999e-05,0.008527514,0.005576033,0.0,0.000753624,0.001064257,0.0,0.001387588,0.0,3.369e-06,0.000643418,0.0,0.0,0.0,0.001715888,0.012291825,2.1158e-05,0.009224982000000001,0.0021106119999999996,0.026183214000000003,0.353098636,-39.449733030252254
1995,0.022027414999999998,0.136907302,0.006119734999999999,0.0,0.0,7.503999999999999e-06,0.0,0.027569260999999998,0.000161839,0.0011871910000000002,0.0,0.0034457760000000007,0.000437263,0.001456813,0.000134174,0.013062810000000001,0.012633236,0.0,0.0,0.000605554,0.07450721800000001,0.12325483,7.0645e-05,0.004914107,0.002055499,3.214e-06,0.0013859870000000002,0.0,9.7848e-05,0.071955512,0.005240464,2.1970000000000003e-06,0.036342653999999995,0.000513278,5.5248e-05,0.039828404,0.001092985,0.0,0.000135,0.059711253,1.8994e-05,0.00047193800000000003,0.0,0.0,0.001314812,0.0,0.0,0.0,0.000595361,0.035607296999999996,1.1428000000000001e-05,0.009598801,0.001820762,0.036905423,0.733267032,107.66634510590403
1996,1.1424000000000001e-05,0.24375114300000003,0.0019606310000000004,0.0,0.0,2.246e-06,0.0,0.035030122999999996,0.002848702,0.0004969239999999999,0.0,0.01750712,0.009997126,0.001739852,0.0,0.0034171280000000006,0.015601149,0.0,0.0,0.00020536,0.038482815000000004,0.184875197,0.0,0.003353989,0.003747352,0.0,0.0008717379999999999,0.0,0.0,0.055736647,0.0030841880000000003,0.00022300500000000002,0.013611796,0.00019744800000000002,1.0141e-05,0.017228515,0.000198206,0.0,9.738e-06,0.006820653,0.000129563,0.001605669,0.0,0.0,0.00060351,0.0,0.0,0.0,0.001823044,0.032317423,0.001247699,0.01943477,0.005738976999999999,0.068462126,0.7923831370000001,8.062015939644773
1997,1.8132e-05,0.6034961460000002,0.008778936,0.0,0.00018112800000000002,0.0,0.0,0.098375237,0.001078093,0.001597924,6.830000000000001e-07,0.15199284699999996,0.03170727,0.0019070450000000002,4.675e-06,0.056697086,0.07748776000000003,0.0,0.0,0.000626598,0.023005078,0.313134077,0.0,0.002528767,0.035979485,0.001038609,0.0011813849999999999,0.0,0.00013406199999999998,0.016931564,0.003196253,0.000656271,0.027480847,0.0004128020000000001,0.00013756300000000002,0.043363388,0.000729796,0.0,0.000311888,0.010632028,0.000659572,0.000427686,0.0,0.0,0.000292193,0.0,0.0,0.0,0.007801304999999999,0.022641711999999998,0.001739525,0.017622052999999995,0.026505535,0.07458950300000003,1.6670825070000006,110.38843826379919
1998,0.00012432,0.15369771000000002,0.0034898570000000003,0.0,0.004258755000000002,0.0,0.0,0.048645767,9.606000000000001e-06,0.0,0.0,0.041327034000000006,0.024061441000000003,0.0022414139999999997,4.972e-06,0.031692943,0.068907888,3.573800000000001e-05,0.0,0.000476654,0.001467063,0.14717051,0.0,0.008523648,0.0009493540000000001,0.0,0.0014923010000000001,0.0,0.0,0.021539320999999997,0.0017454670000000001,0.0,0.004863940000000001,0.0012092799999999999,0.000627462,0.086056821,0.00042730100000000005,0.0,0.0,0.027423349000000003,0.0019090490000000003,0.00039914299999999997,0.0,1.17e-06,4.5317999999999995e-05,0.0,0.0,0.0,0.003142798,0.045788600000000006,0.000134354,0.009686502000000001,0.006218218,0.027866718,0.7776617859999998,-53.351931728955535
1999,0.06219366700000001,0.355651156,0.002422371,0.0,0.001997249,0.0,0.0,0.07631379700000003,0.0,0.0,0.0,0.059930136000000016,0.007927393999999999,0.001316426,1.593e-06,0.034357663,0.167101673,1.9212000000000002e-05,0.0,0.000769058,0.053294379999999995,0.279117286,0.0,0.004814918,0.007906491,0.00019551,0.004914732,0.0,1.147e-06,0.016867987,0.004908891000000001,0.0,0.0013578840000000002,0.00485029,0.022388394000000002,0.055488155000000004,0.003299368,0.0,0.0,0.182483832,0.0017388430000000001,0.000538181,1e-06,0.0,6.105500000000002e-05,0.0,0.0,0.0,6.2658e-05,0.028387166999999998,0.00019956,0.005743668,0.017623010999999997,0.044340082,1.510585885,94.24715373631597
2000,0.025937941,1.842692967,0.0011248559999999998,1.0309e-05,0.0,0.00111904,0.0,0.13802753900000003,0.00030069600000000004,1.3875999999999999e-05,5.256e-06,0.323715357,0.0072493,0.000975184,2.2256000000000002e-05,0.102066343,0.319477975,0.0,3.7288999999999995e-05,0.0028717,0.731728392,0.337273727,0.0,0.014993970999999998,2.0997e-05,0.0001817,0.0038497910000000004,5.1210000000000006e-05,0.035286327,0.025061401,0.006452202,0.0,0.000405538,0.00494524,0.029296623999999997,0.05823477900000001,0.008777791,0.003591186,0.0,0.307296342,0.002626093,0.0015286420000000002,0.00015374000000000003,1.6287e-05,6.3974e-05,0.335189211,0.0,0.0,6.2122e-05,0.00219346,0.000836515,0.004769731999999999,0.069390123,0.10273684300000001,4.852661843999999,221.24369042412962
2001,0.069988286,0.721828095,5.9839999999999996e-05,0.0,0.0,2.379e-06,0.0,0.183698792,0.0013896700000000002,1.0816e-05,4.1693e-05,0.18140380200000003,0.007774739999999999,0.007885232,0.00032169699999999997,0.08031832899999998,0.508580964,9.445e-06,0.007013720999999999,0.001769685,0.938126876,0.259354401,0.0,0.03660075,4.2513000000000004e-05,0.0,0.00587761,0.001128751,0.028786759999999998,0.054200726000000005,0.008839953999999999,0.00040254200000000004,0.0010191299999999998,0.004369173,0.008951552999999998,0.084348671,0.011193891000000001,0.011262864000000001,0.0,0.22715747200000003,0.006369694,0.000375639,5.0792000000000004e-05,2.8010000000000004e-06,0.000514941,0.461312299,0.0,0.0,0.000225068,0.0032039860000000002,0.001236219,0.0032864120000000003,0.03592412100000001,0.114891888,4.081154683,-15.898638433953883
2002,0.081897046,1.087049343,0.01700589900000001,5.083000000000001e-06,0.000701662,0.000490731,2.6200000000000004e-07,0.11465679,0.001257013,0.001534314,0.0,0.251274424,0.014131153,0.012473266,2.1149e-05,0.091854383,0.38272609700000004,4.854e-06,0.011089326,0.003685135,1.157585383,0.23194336999999998,0.0,0.030145440000000003,0.011535848,0.0,0.0057978,0.0,0.055586404000000006,0.0012180790000000002,0.011319532,0.000605142,0.0017302950000000002,0.009766180000000001,0.004671037,0.12214832800000001,0.02257819000000001,0.028930214000000003,8.3e-08,0.121308269,0.005191254,0.0010716730000000002,1.3521e-05,0.000157126,0.001559612,0.45029773600000006,0.0,0.0,0.005349724,0.038296714,0.005602695000000001,0.006619861,0.046092258000000004,0.159592503,4.608572201,12.923242537141544
2003,0.099216863,2.20593488,0.068398282,0.0021759880000000002,0.032340432,0.001734586,3.5299999999999994e-07,0.11522248799999998,0.0023125290000000002,0.0028378240000000005,6.4e-07,0.814658692,0.036757706,0.026241576000000003,0.00014869200000000002,0.152820992,0.4118865320000001,4.6399999999999997e-07,0.014533067000000002,0.004738059,1.4418214130000002,0.30060334,0.001548765,0.034309463,0.010451921000000001,0.0,0.008735702,1.03e-06,0.041954581,0.040946315000000004,0.00695603,8.797e-06,0.028390044,0.0077072009999999995,0.003126003,0.160971507,0.026591793,0.036951145000000005,1.0000000000000003e-09,0.07165879200000001,0.00711694,0.006282633000000002,3.3083e-05,9.6e-08,0.006624306,0.889147541,0.0,0.0,0.022113599,0.017044964,0.0035033260000000006,0.027567111000000002,0.047881549,0.16708016999999997,7.409089806000001,60.767575788273966
2004,0.259077512,4.717339145999999,0.11127269299999999,0.0028607080000000004,0.12411196399999999,0.000318687,0.0,0.148905979,0.006245299999999999,0.222585779,0.0,1.5690609789999999,0.108454807,0.09958485300000001,0.0005143340000000001,0.18793572800000002,0.996649809,0.00051054,0.014632978,0.014386455999999999,1.7058765649999998,0.40028579400000003,0.000124305,0.080383412,0.014794647,2.925100000000001e-05,0.016969229000000002,5.47e-07,0.016519461,0.41675816800000004,0.014081299,4.4545e-05,0.106754915,0.050399327,0.006654282000000001,0.2140821,0.044286108,0.04657632200000001,1.1575999999999999e-05,0.463216342,0.016026199,0.00394108,2.7783999999999997e-05,0.001603283,0.007811211,1.055745855,0.0,0.0,0.046471917000000015,0.034131276,0.011641231,0.068269085,0.17110489099999998,0.141178129,13.740248388,85.45123284742647
2005,0.36373273300000003,6.581828714,0.139392855,0.0040040990000000005,0.163266398,0.000327082,0.0,0.066753332,0.008990376,0.191083375,5.83e-07,2.278029897000001,0.085085258,0.17577199199999996,0.000536065,0.211135885,1.4378339740000001,0.00040840800000000013,0.023180995000000003,0.08570898000000003,2.614461953,0.35167800800000004,0.000170378,0.096006327,0.0030020539999999997,0.0,0.017652134,0.000330851,0.014170059,0.9417188470000001,0.013997353,0.002067729,0.07925022299999998,0.004057497000000002,0.008277382000000002,0.277448396,0.07352732400000002,0.07638855699999998,6.5e-07,0.526879258,0.011532034,0.007879753,9.776000000000001e-06,0.001360541,0.003074312,1.3687242199999998,0.0,0.0,0.03187371700000001,0.044087779,0.020001904999999997,0.170717677,0.252062365,0.15791782700000004,18.987397887,38.18817062712332
2006,0.143121609,10.933295107,0.089382926,0.008166108,0.193312963,0.0017463950000000002,3.44e-07,0.199662643,0.008608876,0.260313008,6.830000000000001e-07,2.79164167,0.125488509,0.368550111,0.000383907,0.216768816,2.5375916640000002,0.000708114,0.024822266,0.131823476,1.9434817210000002,0.8167608120000001,0.000445849,0.079677895,0.012281278999999999,6.400000000000002e-08,0.024415593000000003,0.0012803279999999998,0.001928084,1.693945966,0.023810033999999997,0.000985933,0.114239749,0.402016196,0.007326333,0.35940634,0.079772228,0.121857253,0.0009270960000000001,0.277747279,0.021887575,0.009360558000000001,0.000597996,0.000978994,0.003064836,2.1087565670000004,0.0,0.0,0.021598693999999998,0.05053289100000001,0.017784982000000008,0.152678108,0.270356333,0.139093424,26.794386184999997,41.11668352062694
2007,1.1609319519999999,12.888664602999999,0.11315947400000001,0.026435247000000002,0.155039766,0.0006736260000000001,5.0000000000000004e-08,0.16001756899999997,0.006611853,0.08406939100000001,1.773e-06,2.8366961120000003,0.040636513,0.46017598800000004,0.0016394919999999998,0.23973933300000003,1.6972833460000005,0.00251868,0.019332267000000004,0.087130422,4.171239208,1.095733303,0.008688261,0.053522024,0.09235684300000001,0.000172994,0.028111587,0.00124366,0.003277249,1.547495236,0.029662011000000002,0.000758947,0.035895378,0.5693808270000001,0.005024954,0.423891838,0.124248069,0.1576586,4.5163e-05,0.537080321,0.023634316000000002,0.022530569,0.004460195000000002,0.005705426,0.00172279,4.169608032999999,0.0,0.0,0.026104612,0.030318414000000002,0.019898324,0.203599842,0.394862193,0.142769297,33.911457941,26.561801814979713
